Species,IdealTemperature,IdealHumidity
ALOE VERA,22.0,40.0
ANTHURIUM,23.0,65.0
ARECA PALM,21.0,60.0
ASTER,19.0,55.0
BASIL,22.0,60.0
BEGONIA,20.0,60.0
BOSTON FERN,19.0,70.0
CACTUS,24.0,30.0
CALATHEA,21.0,70.0
CAMELLIA,16.0,60.0
CARNATION,18.0,50.0
CHIVES,17.0,55.0
CHRYSANTHEMUM,19.0,60.0
CORIANDER,19.0,55.0
DAHLIA,20.0,55.0
DELPHINIUM,17.0,55.0
DRACAENA,20.0,50.0
ENGLISH IVY,16.0,55.0
FERN (OUTDOOR),18.0,75.0
FIDDLE LEAF FIG,22.0,55.0
FOXGLOVE,16.0,60.0
FUCHSIA,19.0,65.0
GERANIUM,20.0,50.0
HEUCHERA,17.0,55.0
HOLLYHOCK,18.0,50.0
HOSTA,17.0,65.0
HYDRANGEA,18.0,70.0
IMPATIENS,21.0,70.0
JADE PLANT,19.0,40.0
LAVENDER,18.0,40.0
LOBELIA,17.0,65.0
MARANTA,20.0,70.0
MINT,19.0,60.0
MONSTERA DELICIOSA,22.0,65.0
ORCHID,23.0,65.0
PANSY,14.0,60.0
PARSLEY,18.0,65.0
PEACE LILY,21.0,65.0
PETUNIA,21.0,55.0
POTHOS,20.0,60.0
PRIMROSE,15.0,65.0
ROSEMARY,17.0,45.0
RUBBER PLANT,20.0,60.0
SAGE,18.0,45.0
SNAKE PLANT,20.0,50.0
SNAPDRAGON,18.0,55.0
SPIDER PLANT,18.0,60.0
SWEET PEA,16.0,55.0
THYME,18.0,45.0
VIOLA,15.0,60.0
ZZ PLANT,21.0,45.0
